food_name_in_french,energy_in_kJ_for_100g,energy_in_kcal_for_100g,energy_with_jones_and_fibers_in_kJ_for_100g,energy_with_jones_and_fibers_in_kcal_for_100g,proteins_with_jones_in_g_for_100g,carbohydrates_in_g_for_100g,fats_in_g_for_100g,water_in_g_for_100g
"Crêpe fourrée à la confiture, maison",,,,,,54.0,,
"Crêpe fourrée au chocolat ou à la pâte à tartiner chocolat et noisettes, maison",,,,,,,,
"Crêpe fourrée chocolat, préemballée",,,,,,,,9.0
"Crêpe fourrée fraise, préemballée",,,,,,,,
"Gaufre fine fourrée au miel, préemballée",1910.0,455.0,1910.0,455.0,,67.0,,7.0
"Gaufre bruxelloise ou liégeoise, préparation artisanale",,,,,8.0,,,
"Gaufre moelleuse (type bruxelloise ou liégeoise), nature ou sucrée, préemballée",,,,,,,,
"Gaufre moelleuse (type bruxelloise ou liégeoise), chocolatée, préemballée",,,,,,,,
"Gaufre croustillante (fine ou sèche), nature ou sucrée, préemballée",,,,,,,,
"Gaufre croustillante (fine ou sèche), chocolatée, préemballée",,,,,,70.0,16.0,
"Beignet rond moelleux, sans fourrage, saupoudré de sucre",1690.0,404.0,1690.0,404.0,,,,26.0
Beignet à la confiture,1580.0,378.0,1580.0,378.0,,,,
"Beignet fourré aux fruits, préemballé",1520.0,362.0,1520.0,362.0,,,16.0,
"Beignet fourré goût chocolat, préemballé",1760.0,420.0,1760.0,420.0,,,,
Pâtisserie (aliment moyen),,,,,,44.0,,
"Cake aux fruits, préemballé",1510.0,360.0,1510.0,360.0,,,,
"Gâteau marbré, prémballé",,,,,,,23.0,
"Gâteau sablé aux fruits, préemballé",,,,,,,,
"Gâteau moelleux aux fruits, prémballé",,,,,,,,
"Gâteau moelleux aux fruits à coque, prémballé",,,,,,,,
"Gâteau moelleux fourré au chocolat ou aux pépites de chocolat ou au lait, prémballé",,,,,,,,
"Génoise fourrée et nappée au chocolat, prémballé",,,,,,,,
"Gâteau moelleux fourré aux fruits type mini-roulé ou mini-cake fourré, prémballé",,,,,,,,
"Muffin, aux myrtilles ou au chocolat",,,,,,,,
"Madeleine, pur beurre, préemballée",,,,,,,,
"Madeleine au chocolat, préemballée",,,,,,,,
"Madeleine ordinaire, préemballée",,,,,,,,
Tarte aux poires amandine,,,,,,,,
Gâteau aux amandes type financier,,,,,,,,
"Gâteau aux amandes, préemballé",,,,,,,,
Mille-feuille,,,,,,,,
"Glace à l'eau ou sorbet ou crème glacée, tout parfum (aliment moyen)",,,,,,,12.0,
Barre glacée chocolatée,1500.0,359.0,1500.0,359.0,,,,
"Glace ou crème glacée, bâtonnet, enrobé de chocolat",1370.0,328.0,1370.0,328.0,,,,
"Glace ou crème glacée, cône (taille standard)",,,,,,,,
"Glace ou crème glacée, en bac",,,,,,,,
Glace au yaourt,,,,,,,,
"Glace ou crème glacée, gourmande, en bac",,,,,,29.0,,
"Glace ou crème glacée, gourmande, en pot",,,,,,,,
"Glace ou crème glacée, mini cône",,,,,,,,
"Glace ou crème glacée, pot individuel",,,,,,,,
"Glace ou crème glacée, bac ou pot (aliment moyen)",,,,,,,,
"Glace ou crème glacée, petit pot enfant",,,,,,,,
"Sorbet, bâtonnet",,,,,,,,
"Sorbet, en bac",,,,,,,,
"Sorbet, pot individuel",,,,,,27.0,,
Glace à l'eau,,,,,,,,
"Sorbet, cône",,,,,,,,
Profiterole avec glace vanille et sauce chocolat,1200.0,286.0,1200.0,286.0,,,,
Pêche melba,500.0,119.0,501.0,119.0,,,,
Dessert glacé type mystère ou vacherin,1160.0,275.0,1160.0,275.0,,,,46.0
"Dessert glacé, type sundae",963.0,230.0,964.0,230.0,,,,
"Dessert glacé feuilleté, à partager",1090.0,262.0,1090.0,262.0,,,,
Omelette norvégienne,895.0,212.0,895.0,212.0,,,,
Poire belle Hélène,822.0,196.0,823.0,197.0,,,,
Nougat glacé,1100.0,263.0,1100.0,264.0,,,,
Citron givré ou Orange givrée (sorbet),563.0,133.0,563.0,133.0,,,,
Coupe glacée type café ou chocolat liégeois,923.0,220.0,924.0,221.0,,,10.0,
Bûche glacée,948.0,226.0,949.0,226.0,,30.0,,
Coupe glacée parfum pêche Melba ou poire Belle-Hélène,689.0,163.0,689.0,163.0,,,,
"Beurre à 82% MG, doux",3100.0,753.0,3100.0,753.0,,,,
Huile de beurre ou Beurre concentré,,,,,,0.0,,
"Beurre à 80% MG, demi-sel",3030.0,738.0,3030.0,738.0,,,,
"Beurre à 80% MG, salé",3010.0,732.0,3010.0,732.0,,,,
"Beurre à 82% MG, doux, tendre",3100.0,755.0,3100.0,755.0,,,,
"Beurre à 60-62% MG, à teneur réduite en matière grasse, doux",2260.0,550.0,2260.0,550.0,,,,
"Beurre à 60-62% MG, à teneur réduite en matière grasse, demi-sel",2280.0,555.0,2280.0,555.0,,,61.0,37.0
"Beurre ou assimilé allégé (léger ou à teneur reduite en matière grasse), doux (aliment moyen)",1510.0,368.0,1510.0,368.0,,,,
"Beurre à teneur en matière grasse inconnue (allégé ou non), demi-sel (aliment moyen)",2980.0,727.0,2980.0,727.0,,,,
"Beurre ou assimilé à teneur en matière grasse inconnue, doux (aliment moyen)",3050.0,741.0,3050.0,741.0,,,,
"Beurre à 39-41% MG, léger, doux",1610.0,391.0,1610.0,391.0,,,,
"Matière grasse laitière à 25% MG, légère, ""à tartiner"", doux",1020.0,247.0,1020.0,247.0,,,,
"Matière grasse laitière à 20% MG, légère, ""à tartiner"", doux",831.0,201.0,831.0,201.0,,,,
Huile ou beurre de cacao,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
"Huile ou graisse de coco (coprah), sans précision",3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
"Huile ou graisse de coco (coprah), raffinée",3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Matière grasse ou graisse végétale solide (type margarine) pour friture,3700.0,899.0,3700.0,899.0,,0.0,,
Huile ou beurre de karité,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
"Huile pour friture, sans précision",3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,
"Huile de palme, sans précision",3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile de palme raffinée,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
"Huile ou graisse de palmiste, sans précision",3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile végétale (aliment moyen),3700.0,900.0,3700.0,900.0,,0.0,,
Huile d'amandes d'abricot,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile d'amande,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile d'arachide,3700.0,900.0,3700.0,900.0,,0.0,,
Huile d'avocat,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile de germe de blé,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile de carthame,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile de colza,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile de coton,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile de lin,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile de maïs,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile de noisette,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile de noix,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile d'olive vierge extra,3700.0,900.0,3700.0,900.0,,0.0,,
Huile de pavot,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile de pépins de raisin,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,
Huile de son de riz,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile de sésame,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile de soja,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile de tournesol,3700.0,901.0,3700.0,901.0,,0.0,100.0,
Huile combinée (mélange d'huiles),3680.0,896.0,3680.0,896.0,0.0,0.0,,0.0
"Huile combinée, mélange d'huile d'olive et de graines",3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile d'argan ou d'argane,3650.0,889.0,3650.0,889.0,0.0,0.0,,
"Matière grasse végétale (type margarine) à 80% MG, salée",2970.0,722.0,2970.0,722.0,,,80.0,
"Matière grasse végétale ou margarine, 80% MG, doux",2980.0,726.0,2980.0,726.0,,,,
"Matière grasse végétale (type margarine) à 70% MG, doux",2600.0,631.0,2600.0,631.0,,,70.0,
"Matière grasse végétale (type margarine) à 60% de MG, allégée, au tournesol, doux",2250.0,548.0,2250.0,548.0,,,,39.0
"Matière grasse végétale (type margarine), teneur en matière grasse inconue, doux (aliment moyen)",2500.0,608.0,2500.0,608.0,,,,
"Matière grasse végétale (type margarine), teneur réduite en matière grasse inconnue, doux (aliment moyen)",2190.0,532.0,2190.0,532.0,,,,
"Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux",1510.0,366.0,1510.0,366.0,,3.0,,
"Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, demi-sel",1470.0,358.0,1470.0,358.0,,,38.0,
"Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux, riche en oméga 3",1440.0,349.0,1440.0,349.0,0.0,0.0,,
"Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, riche en oméga 3",2140.0,521.0,2140.0,521.0,,,,
"Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel",2150.0,523.0,2150.0,523.0,,,58.0,
"Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, aux esters de stérol végétal",2250.0,548.0,2250.0,548.0,,0.0,,
"Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel, riche en oméga 3",2020.0,491.0,2020.0,491.0,,,,
"Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux",2200.0,536.0,2200.0,536.0,,,,
"Matière grasse végétale (type margarine) à 30-40% MG, légère, demi-sel, aux esters de stérol végétal",1340.0,325.0,1340.0,325.0,,,35.0,
Matière grasse mélangée (végétale et laitière) à 50-63% MG,2010.0,490.0,2010.0,490.0,,,54.0,
"Matière grasse mélangée (végétale et laitière) à 50-63% MG, demi-sel",1980.0,481.0,1980.0,481.0,,,53.0,
"Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG",1640.0,397.0,1640.0,397.0,,,,54.0
"Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG, demi-sel",1530.0,370.0,1530.0,370.0,,,38.0,
Huile de foie de morue,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile de sardine,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile de saumon,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Huile de hareng,3700.0,900.0,3700.0,900.0,0.0,0.0,100.0,0.0
Saindoux,3680.0,896.0,3680.0,896.0,0.0,0.0,,1.0
"Lard gras, cru",3330.0,810.0,3330.0,810.0,,0.0,,
Graisse de poulet,3690.0,898.0,3690.0,898.0,0.0,0.0,,
Graisse de canard,3690.0,898.0,3690.0,898.0,0.0,0.0,,
Graisse d'oie,3690.0,898.0,3690.0,898.0,0.0,0.0,,
Graisse de dinde,3690.0,898.0,3690.0,898.0,0.0,0.0,,
Huile de paraffine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sauce (aliment moyen),,,,,,,,63.0
"Ketchup, préemballé",420.0,99.0,420.0,99.0,,,,
"Sauce tartare, préemballée",,,,,,,55.0,
"Mayonnaise (70% MG min.), préemballée",,,,,,,,
"Ketchup allégé en sucres, préemballé",,,,,,,,
"Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée, préemballée",,,,,,,,
"Sauce barbecue, préemballée",578.0,136.0,578.0,136.0,,,,
"Sauce soja, préemballée",193.0,,193.0,,,,,
"Sauce vinaigrette à l'huile d'olive (50 à 75% d'huile), préemballée",,,,,,,,
"Sauce vinaigrette allégée en MG (25 à 50% d'huile), préemballée",,,,,,,,
"Sauce vinaigrette (50 à 75% d'huile), préemballée",,,,,,,,
"Harissa (sauce condimentaire), préemballée",,,,,,,,
"Sauce bourguignonne, préemballée",,,,,,,,
"Sauce moutarde, préemballée",,,,,,,,
Sauce au yaourt,,,,,,,,
"Sauce américaine, préemballée",,,,,,,,
"Sauce aïoli, préemballée",,,,,,,41.0,
"Sauce crudités ou Sauce salade, préemballée",,,,,,,,
"Sauce Nuoc Mâm ou Sauce au poisson, préemballée",345.0,,345.0,,,,0.0,
"Sauce burger, préemballée",,,,,,,,
"Sauce crudités ou Sauce salade, allégée en matière grasse, préemballée",,,,,,,,
"Sauce kebab, préemballée",,,,,,,,
"Sauce rouille, préemballée",,,,,,1.0,,
"Sauce au poivre, condimentaire, froide, préemballée",,,,,,,,
Sauce froide (aliment moyen),,,,,,,,
Caviar de tomates,899.0,218.0,899.0,218.0,,,,
"Sauce soja sucrée, préemballée",,,,,,,,
"Sauce pour nems à base de nuoc-mam dilué, préemballée",573.0,135.0,573.0,135.0,,,,
"Sauce végétale type bolognaise, préemballée",284.0,68.0,284.0,68.0,,,3.0,
"Sauce teriyaki, préemballée",,,,,,16.0,,
"Tzatziki, à base yaourt, préemballé",,,,,,,,
"Tzatziki, à base fromage frais, préemballé",,,,,,,,
"Guacamole, préemballé",,,,,,,,
"Houmous, préemballé",,,,,,,,
"Caviar d'aubergine, préemballé",,,,,,,21.0,
"Sauce béchamel, préemballée",,,,,,,,
"Sauce béarnaise, préemballée",,,,,,,,
"Sauce hollandaise, préemballée",,,,,,,,
"Sauce tomate aux oignons, préemballée",,,,,,,,
"Sauce armoricaine, préemballée",,,,,,,,
"Sauce tomate à la viande ou Sauce bolognaise, préemballée",,,,,,,,
"Sauce au poivre vert, préemballée",,,,,,,,
"Sauce madère, préemballée",,,,,,,,
"Sauce à l'échalote à la crème, préemballée",,,,,,,,
"Sauce carbonara, préemballée",,,,,,,,
"Sauce chasseur, préemballée",,,,,,,,91.0
"Sauce au curry, préemballée",324.0,,324.0,,,,,
"Sauce au beurre blanc, préemballée",,,,,,,,
"Sauce béchamel, maison",,,,,,,,
"Sauce au beurre, préemballée",,,,,,,,
Sauce à la crème,,,,,,,,
"Sauce aux champignons, préemballée",,,,,,,,
Sauce à la crème aux épices,,,,,,,,
Sauce à la crème aux herbes,,,,,,,,86.0
"Sauce aigre douce, préemballée",,,,,,,,78.0
Sauce au vin rouge,,,,,,7.0,,
"Sauce basquaise ou Sauce aux poivrons, préemballée",264.0,,264.0,,,,,
"Sauce tomate aux champignons, préemballée",,,,,,,,
"Sauce tomate aux olives, préemballée",,,,,,,,
"Sauce pesto, préemballée",1530.0,370.0,1530.0,370.0,,,,
"Sauce au poivre, chaude, préemballée",,,,,1.0,,,
"Sauce au fromage pour risotto ou pâtes, préemballée",,,,,,,,
"Sauce au roquefort, préemballée",,,,,,,,
"Sauce aux champignons et à la crème, préemballée",,,,,,,5.0,
"Sauce grand veneur, préemballée",,,,,,,7.0,
"Sauce indienne type tandoori ou tikka masala, préemballée",,,,,,,,
"Sauce tomate aux petits légumes, préemballée",,,,,,,,
"Sauce tomate au fromage, préemballée",,,,,,,,
"Sauce pesto rosso, préemballée",,,,,,,27.0,
Sauce chaude (aliment moyen),,,,,,,,
"Sauce à l'oseille, préemballée",,,,,,,15.0,
"Céleri rémoulade, préemballé",468.0,113.0,468.0,113.0,,,,
"Meloukhia, sauce, artisanale",,,,,,,21.0,
"Sauce au chocolat, préemballée",1160.0,277.0,1160.0,277.0,,,,
"Crème anglaise, préemballée",443.0,105.0,443.0,105.0,,,,
"Cornichon, au vinaigre",,,,,,,,
Moutarde,632.0,152.0,632.0,152.0,,,,
Vinaigre,,,,,,,,
Moutarde à l'ancienne,591.0,142.0,591.0,142.0,,,,
"Câpres, au vinaigre",,,,,,,,
Tapenade,,,,,,,23.0,
Oignon au vinaigre,,,,,,,,93.0
Vinaigre de cidre,,,,,0.0,,0.0,
Vinaigre balsamique,531.0,125.0,531.0,125.0,,,,
"Cornichon, aigre-doux",152.0,36.0,152.0,36.0,,5.0,,
Vinaigre de vin rouge,,,,,,,0.0,
"Olive noire, en saumure, égouttée",,,,,,,,
"Olive verte, en saumure, égouttée",637.0,155.0,637.0,155.0,,,,
"Olive noire, à l'huile (à la grecque)",1360.0,332.0,1360.0,332.0,,,,
"Olives vertes, fourrées ou farcies (anchois, poivrons, etc.)",,,,,,,,75.0
Olive (aliment moyen),667.0,162.0,667.0,162.0,,,,
Olive noire (aliment moyen),,,,,,,,
"Bouillon de boeuf, déshydraté",1000.0,240.0,1000.0,240.0,,,,
"Fond de veau pour sauces et cuisson, déshydraté",1450.0,343.0,1450.0,343.0,,,,
"Fond de volaille pour sauces et cuisson, déshydraté",1440.0,341.0,1440.0,341.0,,,,
"Court-bouillon pour poissons, déshydraté",1080.0,260.0,1080.0,260.0,5.0,7.0,23.0,
"Bouillon de volaille, déshydraté",974.0,233.0,974.0,233.0,,,,
"Gelée au madère, déshydratée",1050.0,248.0,1050.0,248.0,,17.0,,
Gelée au madère,48.0,,48.0,,2.0,,,
"Fond de veau, préemballé",171.0,,171.0,,,,,
"Pizza, sauce garniture pour",161.0,,161.0,,,,,
"Bouillon de viande et légumes type pot-au-feu, déshydraté",893.0,213.0,893.0,213.0,,,,
"Bouillon de viande et légumes type pot-au-feu, non dégraissé, déshydraté",893.0,212.0,893.0,212.0,,,,
"Bouillon de viande et légumes type pot-au-feu, dégraissé, déshydraté",832.0,197.0,832.0,197.0,,,,
"Sel blanc alimentaire, non iodé, non fluoré (marin, ignigène ou gemme)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sel au céleri,204.0,49.0,204.0,49.0,,,,
"Sel blanc alimentaire, iodé, non fluoré (marin, ignigène ou gemme)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Fleur de sel, non iodée, non fluorée",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Sel marin gris, non iodé, non fluoré",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Sel blanc alimentaire, iodé, fluoré à 25 mg /100 g (marin, ignigène ou gemme)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Curry, poudre",1230.0,301.0,1230.0,301.0,,,14.0,
"Gingembre, poudre",1410.0,335.0,1410.0,335.0,,,,
"Poivre noir, poudre",1380.0,330.0,1380.0,330.0,,,,9.0
"Poivre blanc, poudre",1300.0,310.0,1300.0,310.0,,,,
"Cannelle, poudre",1000.0,243.0,1000.0,243.0,,,,
"Coriandre, graine",1430.0,346.0,1430.0,346.0,,13.0,,
Safran,1490.0,352.0,1490.0,352.0,,,,
"Cumin, graine",1780.0,427.0,1780.0,427.0,,,,
Noix de muscade,2100.0,507.0,2080.0,504.0,,,,
Paprika,1320.0,319.0,1320.0,319.0,,,,
Clou de girofle,1390.0,335.0,1390.0,335.0,,,13.0,
"Laurier, feuille",1480.0,353.0,1480.0,353.0,,,,
Quatre épices,1460.0,348.0,1460.0,348.0,,,,
"Vanille, gousse",,,,,,,,
"Pavot, graine",2280.0,551.0,2280.0,551.0,,,,
"Carvi, graine",1380.0,334.0,1380.0,334.0,,,,
"Vanille, extrait alcoolique",996.0,240.0,996.0,240.0,,,0.0,
"Fenouil, graine",1350.0,326.0,1350.0,326.0,,,,
"Gingembre, racine crue",137.0,,137.0,,,,,
"Cardamome, poudre",1340.0,321.0,1340.0,321.0,,,,
"Fenugrec, graine",1470.0,350.0,1470.0,350.0,,,,
Epice (aliment moyen),1440.0,346.0,1440.0,345.0,,,,
Poivre de Cayenne ou piment de Cayenne,1560.0,376.0,1560.0,376.0,12.0,,,
"Curcuma, poudre",1220.0,291.0,1220.0,291.0,,,,
"Vanille, extrait aqueux",245.0,,245.0,,,,0.0,
"Ail, cru",470.0,111.0,470.0,111.0,,,,
"Cerfeuil, frais",167.0,,167.0,,,,,
"Ciboule ou Ciboulette, fraîche",124.0,,124.0,,,,,
"Persil, frais",180.0,43.0,180.0,43.0,,,,
"Raifort, cru",,,,,,13.0,,
"Menthe, fraîche",240.0,,240.0,,,,,
"Basilic, frais",145.0,,145.0,,,,,
"Romarin, frais",498.0,121.0,498.0,121.0,,,,
"Sauge, fraîche",152.0,,152.0,,4.0,,,
"Thym, frais",446.0,107.0,446.0,107.0,,,,
Herbes aromatiques fraîches (aliment moyen),206.0,,206.0,,,,,
"Estragon, frais",184.0,44.0,184.0,44.0,,,,
"Aneth, frais",202.0,,202.0,,,,,86.0
"Coriandre, fraiche",,,,,,,,
"Ail, rôti/cuit au four",538.0,127.0,538.0,127.0,,,,
"Ail, sauté/poêlé, sans matière grasse",548.0,130.0,548.0,130.0,6.0,22.0,,
"Ail séché, poudre",1460.0,344.0,1460.0,344.0,,,,
"Persil, séché",1210.0,291.0,1210.0,291.0,29.0,,,
"Menthe, séchée",1180.0,283.0,1180.0,283.0,,,,
"Basilic, séché",1010.0,244.0,1010.0,244.0,23.0,,,
"Marjolaine, séchée",1140.0,276.0,1140.0,276.0,,,,
"Origan, séché",1100.0,265.0,1100.0,265.0,9.0,,,
"Romarin, séché",1350.0,328.0,1350.0,328.0,,,,
"Sauge, séchée",1320.0,320.0,1320.0,320.0,,,,
"Thym, séché",1180.0,285.0,1180.0,285.0,,,,
"Herbes de Provence, séchées",1170.0,283.0,1170.0,283.0,,23.0,,
"Sarriette, séchée",1090.0,264.0,1090.0,264.0,,23.0,,9.0
"Meloukhia, feuilles de corète séchées, en poudre",994.0,239.0,994.0,239.0,23.0,,,
"Agar (algue), cru",,,,,,,,
"Agar (algue), séché",,,,,,,,
"Spiruline (Spirulina sp.), séchée ou déshydratée",,,,,,,,
"Wakamé (Undaria pinnatifida), séchée ou déshydratée",760.0,184.0,760.0,184.0,,,,
"Laitue de mer (Ulva sp.), séchée ou déshydratée",856.0,206.0,856.0,206.0,,,,
"Kombu royal (Saccharina latissima), séchée ou déshydratée",849.0,204.0,849.0,204.0,,,,
"Nori (Porphyra sp.), séchée ou déshydratée",1060.0,255.0,1060.0,255.0,,,,
"Dulse (Palmaria palmata), séchée ou déshydratée",949.0,227.0,949.0,227.0,,,,
"Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée",931.0,224.0,931.0,224.0,,,,
"Kombu breton (Laminaria digitata), séchée ou déshydratée",905.0,217.0,905.0,217.0,,,,
"Haricot de mer (Himanthalia elongata), séchée ou déshydratée",998.0,239.0,998.0,239.0,,,,
"Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée",1010.0,243.0,1010.0,243.0,,,,
"Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté",799.0,194.0,799.0,194.0,,,,
"Ao-nori (Enteromorpha sp.), séchée ou déshydratée",932.0,224.0,932.0,224.0,,,,
"Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté",978.0,234.0,978.0,234.0,,,,
"Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté",874.0,211.0,874.0,211.0,,,,
"Wakamé atlantique (Alaria esculenta), séchée ou déshydratée",769.0,187.0,769.0,187.0,,,,
